Gentlemen/Ladies,Year,Country,Champion,Country,Runner-up,Score in the final (winner first)
Gentlemen's Singles,1968,Australia,Rod Laver,Australia,Tony Roche,"6–3, 6–4, 6–2"
Gentlemen's Singles,1969,Australia,Rod Laver,Australia,John Newcombe,"6–4, 5–7, 6–4, 6–4"
Gentlemen's Singles,1970,Australia,John Newcombe,Australia,Ken Rosewall,"5–7, 6–3, 6–2, 3–6, 6–1"
Gentlemen's Singles,1971,Australia,John Newcombe,United States of America,Stan Smith,"6–3, 5–7, 2–6, 6–4, 6–4"
Gentlemen's Singles,1972,United States of America,Stan Smith,Romania,Ilie Năstase,"4–6, 6–3, 6–3, 4–6, 7–5"
Gentlemen's Singles,1973,Czechoslovakia,Jan Kodeš,Soviet Union,Alex Metreveli,"6–1, 9–8(7–5), 6–3"
Gentlemen's Singles,1974,United States of America,Jimmy Connors,Australia,Ken Rosewall,"6–1, 6–1, 6–4"
Gentlemen's Singles,1975,United States of America,Arthur Ashe,United States of America,Jimmy Connors,"6–1, 6–1, 5–7, 6–4"
Gentlemen's Singles,1976,Sweden,Björn Borg,Romania,Ilie Năstase,"6–4, 6–2, 9–7"
Gentlemen's Singles,1977,Sweden,Björn Borg,United States of America,Jimmy Connors,"3–6, 6–2, 6–1, 5–7, 6–4"
Gentlemen's Singles,1978,Sweden,Björn Borg,United States of America,Jimmy Connors,"6–2, 6–2, 6–3"
Gentlemen's Singles,1979,Sweden,Björn Borg,United States of America,Roscoe Tanner,"6–7(4–7), 6–1, 3–6, 6–3, 6–4"
Gentlemen's Singles,1980,Sweden,Björn Borg,United States of America,John McEnroe,"1–6, 7–5, 6–3, 6–7(16–18), 8–6"
Gentlemen's Singles,1981,United States of America,John McEnroe,Sweden,Björn Borg,"4–6, 7–6(7–1), 7–6(7–4), 6–4"
Gentlemen's Singles,1982,United States of America,Jimmy Connors,United States of America,John McEnroe,"3–6, 6–3, 6–7(2–7), 7–6(7–5), 6–4"
Gentlemen's Singles,1983,United States of America,John McEnroe,New Zealand,Chris Lewis,"6–2, 6–2, 6–2"
Gentlemen's Singles,1984,United States of America,John McEnroe,United States of America,Jimmy Connors,"6–1, 6–1, 6–2"
Gentlemen's Singles,1985,Germany,Boris Becker,United States of America,Kevin Curren,"6–3, 6–7(4–7), 7–6(7–3), 6–4"
Gentlemen's Singles,1986,Germany,Boris Becker,Czechoslovakia,Ivan Lendl,"6–4, 6–3, 7–5"
Gentlemen's Singles,1987,Australia,Pat Cash,Czechoslovakia,Ivan Lendl,"7–6(7–5), 6–2, 7–5"
Gentlemen's Singles,1988,Sweden,Stefan Edberg,Germany,Boris Becker,"4–6, 7–6(7–2), 6–4, 6–2"
Gentlemen's Singles,1989,Germany,Boris Becker,Sweden,Stefan Edberg,"6–0, 7–6(7–1), 6–4"
Gentlemen's Singles,1990,Sweden,Stefan Edberg,Germany,Boris Becker,"6–2, 6–2, 3–6, 3–6, 6–4"
Gentlemen's Singles,1991,Germany,Michael Stich,Germany,Boris Becker,"6–4, 7–6(7–4), 6–4"
Gentlemen's Singles,1992,United States of America,Andre Agassi,Croatia,Goran Ivanišević,"6–7(8–10), 6–4, 6–4, 1–6, 6–4"
Gentlemen's Singles,1993,United States of America,Pete Sampras,United States of America,Jim Courier,"7–6(7–3), 7–6(8–6), 3–6, 6–3"
Gentlemen's Singles,1994,United States of America,Pete Sampras,Croatia,Goran Ivanišević,"7–6(7–2), 7–6(7–5), 6–0"
Gentlemen's Singles,1995,United States of America,Pete Sampras,Germany,Boris Becker,"6–7(5–7), 6–2, 6–4, 6–2"
Gentlemen's Singles,1996,Netherlands,Richard Krajicek,United States of America,MaliVai Washington,"6–3, 6–4, 6–3"
Gentlemen's Singles,1997,United States of America,Pete Sampras,France,Cédric Pioline,"6–4, 6–2, 6–4"
Gentlemen's Singles,1998,United States of America,Pete Sampras,Croatia,Goran Ivanišević,"6–7(2–7), 7–6(11–9), 6–4, 3–6, 6–2"
Gentlemen's Singles,1999,United States of America,Pete Sampras,United States of America,Andre Agassi,"6–3, 6–4, 7–5"
Gentlemen's Singles,2000,United States of America,Pete Sampras,Australia,Patrick Rafter,"6–7(10–12), 7–6(7–5), 6–4, 6–2"
Gentlemen's Singles,2001,Croatia,Goran Ivanišević,Australia,Patrick Rafter,"6–3, 3–6, 6–3, 2–6, 9–7"
Gentlemen's Singles,2002,Australia,Lleyton Hewitt,Argentina,David Nalbandian,"6–1, 6–3, 6–2"
Gentlemen's Singles,2003,Switzerland,Roger Federer,Australia,Mark Philippoussis,"7–6(7–5), 6–2, 7–6(7–3)"
Gentlemen's Singles,2004,Switzerland,Roger Federer,United States of America,Andy Roddick,"4–6, 7–5, 7–6(7–3), 6–4"
Gentlemen's Singles,2005,Switzerland,Roger Federer,United States of America,Andy Roddick,"6–2, 7–6(7–2), 6–4"
Gentlemen's Singles,2006,Switzerland,Roger Federer,Spain,Rafael Nadal,"6–0, 7–6(7–5), 6–7(2–7), 6–3"
Gentlemen's Singles,2007,Switzerland,Roger Federer,Spain,Rafael Nadal,"7–6(9–7), 4–6, 7–6(7–3), 2–6, 6–2"
Gentlemen's Singles,2008,Spain,Rafael Nadal,Switzerland,Roger Federer,"6–4, 6–4, 6–7(5–7), 6–7(8–10), 9–7"
Gentlemen's Singles,2009,Switzerland,Roger Federer,United States of America,Andy Roddick,"5–7, 7–6(8–6), 7–6(7–5), 3–6, 16–14"
Gentlemen's Singles,2010,Spain,Rafael Nadal,Czechia,Tomáš Berdych,"6–3, 7–5, 6–4"
Gentlemen's Singles,2011,Serbia,Novak Djokovic,Spain,Rafael Nadal,"6–4, 6–1, 1–6, 6–3"
Gentlemen's Singles,2012,Switzerland,Roger Federer,Great Britain,Andy Murray,"4–6, 7–5, 6–3, 6–4"
Gentlemen's Singles,2013,Great Britain,Andy Murray,Serbia,Novak Djokovic,"6–4, 7–5, 6–4"
Gentlemen's Singles,2014,Serbia,Novak Djokovic,Switzerland,Roger Federer,"6–7(7–9), 6–4, 7–6(7–4), 5–7, 6–4"
Gentlemen's Singles,2015,Serbia,Novak Djokovic,Switzerland,Roger Federer,"7–6(7–1), 6–7(10–12), 6–4, 6–3"
Gentlemen's Singles,2016,Great Britain,Andy Murray,Canada,Milos Raonic,"6–4, 7–6(7–3), 7–6(7–2)"
Gentlemen's Singles,2017,Switzerland,Roger Federer,Croatia,Marin Čilić,"6–3, 6–1, 6–4"
Gentlemen's Singles,2018,Serbia,Novak Djokovic,South Africa,Kevin Anderson,"6–2, 6–2, 7–6(7–3)"
Gentlemen's Singles,2019,Serbia,Novak Djokovic,Switzerland,Roger Federer,"7–6(7–5), 1–6, 7–6(7–4), 4–6, 13–12(7–3)"
Gentlemen's Singles,2020,No competition (due to COVID-19 pandemic),,,,
Gentlemen's Singles,2021,Serbia,Novak Djokovic,Italy,Matteo Berrettini,"6–7(4–7), 6–4, 6–4, 6–3"
Gentlemen's Singles,2022,Serbia,Novak Djokovic,Australia,Nick Kyrgios,"4–6, 6–3, 6–4, 7–6(7–3)"
Gentlemen's Singles,2023,Spain,Carlos Alcaraz,Serbia,Novak Djokovic,"1–6, 7–6(8–6), 6–1, 3–6, 6–4"
Gentlemen's Singles,2024,Spain,Carlos Alcaraz,Serbia,Novak Djokovic,"6–2, 6–2, 7–6(7–4)"
Ladies' Singles,1968,United States of America,Billie Jean King,Australia,Judy Tegart,"9–7, 7–5"
Ladies' Singles,1969,Great Britain,Ann Jones,United States of America,Billie Jean King,"3–6, 6–3, 6–2"
Ladies' Singles,1970,Australia,Margaret Court,United States of America,Billie Jean King,"14–12, 11–9"
Ladies' Singles,1971,Australia,Evonne Goolagong,Australia,Margaret Court,"6–4, 6–1"
Ladies' Singles,1972,United States of America,Billie Jean King,Australia,Evonne Goolagong,"6–3, 6–3"
Ladies' Singles,1973,United States of America,Billie Jean King,United States of America,Chris Evert,"6–0, 7–5"
Ladies' Singles,1974,United States of America,Chris Evert,Soviet Union,Olga Morozova,"6–0, 6–4"
Ladies' Singles,1975,United States of America,Billie Jean King,Australia,Evonne Goolagong,"6–0, 6–1"
Ladies' Singles,1976,United States of America,Chris Evert,Australia,Evonne Goolagong,"6–3, 4–6, 8–6"
Ladies' Singles,1977,Great Britain,Virginia Wade,Netherlands,Betty Stöve,"4–6, 6–3, 6–1"
Ladies' Singles,1978,United States of America,Martina Navratilova,United States of America,Chris Evert,"2–6, 6–4, 7–5"
Ladies' Singles,1979,United States of America,Martina Navratilova,United States of America,Chris Evert,"6–4, 6–4"
Ladies' Singles,1980,Australia,Evonne Goolagong,United States of America,Chris Evert,"6–1, 7–6(7–4)"
Ladies' Singles,1981,United States of America,Chris Evert,Czechoslovakia,Hana Mandlíková,"6–2, 6–2"
Ladies' Singles,1982,United States of America,Martina Navratilova,United States of America,Chris Evert,"6–1, 3–6, 6–2"
Ladies' Singles,1983,United States of America,Martina Navratilova,United States of America,Andrea Jaeger,"6–0, 6–3"
Ladies' Singles,1984,United States of America,Martina Navratilova,United States of America,Chris Evert,"7–6(7–5), 6–2"
Ladies' Singles,1985,United States of America,Martina Navratilova,United States of America,Chris Evert,"4–6, 6–3, 6–2"
Ladies' Singles,1986,United States of America,Martina Navratilova,Czechoslovakia,Hana Mandlíková,"7–6(7–1), 6–3"
Ladies' Singles,1987,United States of America,Martina Navratilova,Germany,Steffi Graf,"7–5, 6–3"
Ladies' Singles,1988,Germany,Steffi Graf,United States of America,Martina Navratilova,"5–7, 6–2, 6–1"
Ladies' Singles,1989,Germany,Steffi Graf,United States of America,Martina Navratilova,"6–2, 6–7(1–7), 6–1"
Ladies' Singles,1990,United States of America,Martina Navratilova,United States of America,Zina Garrison,"6–4, 6–1"
Ladies' Singles,1991,Germany,Steffi Graf,Argentina,Gabriela Sabatini,"6–4, 3–6, 8–6"
Ladies' Singles,1992,Germany,Steffi Graf,Yugoslavia,Monica Seles,"6–2, 6–1"
Ladies' Singles,1993,Germany,Steffi Graf,Czechia,Jana Novotná,"7–6(8–6), 1–6, 6–4"
Ladies' Singles,1994,Spain,Conchita Martínez,United States of America,Martina Navratilova,"6–4, 3–6, 6–3"
Ladies' Singles,1995,Germany,Steffi Graf,Spain,Arantxa Sánchez Vicario,"4–6, 6–1, 7–5"
Ladies' Singles,1996,Germany,Steffi Graf,Spain,Arantxa Sánchez Vicario,"6–3, 7–5"
Ladies' Singles,1997,Switzerland,Martina Hingis,Czechia,Jana Novotná,"2–6, 6–3, 6–3"
Ladies' Singles,1998,Czechia,Jana Novotná,France,Nathalie Tauziat,"6–4, 7–6(7–2)"
Ladies' Singles,1999,United States of America,Lindsay Davenport,Germany,Steffi Graf,"6–4, 7–5"
Ladies' Singles,2000,United States of America,Venus Williams,United States of America,Lindsay Davenport,"6–3, 7–6(7–3)"
Ladies' Singles,2001,United States of America,Venus Williams,Belgium,Justine Henin,"6–1, 3–6, 6–0"
Ladies' Singles,2002,United States of America,Serena Williams,United States of America,Venus Williams,"7–6(7–4), 6–3"
Ladies' Singles,2003,United States of America,Serena Williams,United States of America,Venus Williams,"4–6, 6–4, 6–2"
Ladies' Singles,2004,Russia,Maria Sharapova,United States of America,Serena Williams,"6–1, 6–4"
Ladies' Singles,2005,United States of America,Venus Williams,United States of America,Lindsay Davenport,"4–6, 7–6(7–4), 9–7"
Ladies' Singles,2006,France,Amélie Mauresmo,Belgium,Justine Henin,"2–6, 6–3, 6–4"
Ladies' Singles,2007,United States of America,Venus Williams,France,Marion Bartoli,"6–4, 6–1"
Ladies' Singles,2008,United States of America,Venus Williams,United States of America,Serena Williams,"7–5, 6–4"
Ladies' Singles,2009,United States of America,Serena Williams,United States of America,Venus Williams,"7–6(7–3), 6–2"
Ladies' Singles,2010,United States of America,Serena Williams,Russia,Vera Zvonareva,"6–3, 6–2"
Ladies' Singles,2011,Czechia,Petra Kvitová,Russia,Maria Sharapova,"6–3, 6–4"
Ladies' Singles,2012,United States of America,Serena Williams,Poland,Agnieszka Radwańska,"6–1, 5–7, 6–2"
Ladies' Singles,2013,France,Marion Bartoli,Germany,Sabine Lisicki,"6–1, 6–4"
Ladies' Singles,2014,Czechia,Petra Kvitová,Canada,Eugenie Bouchard,"6–3, 6–0"
Ladies' Singles,2015,United States of America,Serena Williams,Spain,Garbiñe Muguruza,"6–4, 6–4"
Ladies' Singles,2016,United States of America,Serena Williams,Germany,Angelique Kerber,"7–5, 6–3"
Ladies' Singles,2017,Spain,Garbiñe Muguruza,United States of America,Venus Williams,"7–5, 6–0"
Ladies' Singles,2018,Germany,Angelique Kerber,United States of America,Serena Williams,"6–3, 6–3"
Ladies' Singles,2019,Romania,Simona Halep,United States of America,Serena Williams,"6–2, 6–2"
Ladies' Singles,2020,No competition (due to COVID-19 pandemic),,,,
Ladies' Singles,2021,Australia,Ashleigh Barty,Czechia,Karolína Plíšková,"6–3, 6–7(4–7), 6–3"
Ladies' Singles,2022,Kazakhstan,Elena Rybakina,Tunisia,Ons Jabeur,"3–6, 6–2, 6–2"
Ladies' Singles,2023,Czechia,Markéta Vondroušová,Tunisia,Ons Jabeur,"6–4, 6–4"
Ladies' Singles,2024,Czechia,Barbora Krejčíková,Italy,Jasmine Paolini,"6–2, 2–6, 6–4"
